ncbi_id,gene_name,ensembl_id
64263,gch2,ENSDARG00000099101
378727,pck1,ENSDARG00000013522
406473,pck2,ENSDARG00000020956
557191,gucy1b2,ENSDARG00000056591
560653,npr1a,ENSDARG00000031751
550420,gucy1a1,ENSDARG00000013787
100330875,gucy1a2,ENSDARG00000093185
140425,gc2,ENSDARG00000018329
140424,gucy2f,ENSDARG00000025504
100150304,gucy1b1,ENSDARG00000086790
568219,si:ch73-139e5.4,ENSDARG00000056045
402827,hao1,ENSDARG00000024160
393455,hao2,ENSDARG00000027992
394138,asns,ENSDARG00000016375
100124594,aspg,ENSDARG00000052942
557232,aspa,ENSDARG00000005154
100002145,si:ch73-337l15.2,
100333757,ggt5b,ENSDARG00000078258
569014,ggt1b,ENSDARG00000018342
566746,ggt1l2.2,ENSDARG00000087054
450084,gss,ENSDARG00000037706
768123,b4galt1l,ENSDARG00000104404
550425,b4galt1,
100148828,b4galt2,ENSDARG00000077994
436627,bpnt1,ENSDARG00000043684
641570,bpnt2,ENSDARG00000058114
777719,papss2a,ENSDARG00000071021
80939,papss2b,ENSDARG00000056600
559488,papss1,ENSDARG00000057099
327057,uck2b,ENSDARG00000022213
100005763,uck2a,ENSDARG00000006074
447928,uck1,ENSDARG00000022218
563597,si:ch211-243j20.2,ENSDARG00000033916
558466,uckl1b,ENSDARG00000078973
558758,acp6,ENSDARG00000040064
406801,acp5a,ENSDARG00000019763
436725,acp5b,ENSDARG00000101456
541489,acp1,ENSDARG00000076486
503759,acp2,ENSDARG00000007244
560915,rfk,ENSDARG00000060522
570368,arg1,ENSDARG00000057429
322614,arg2,ENSDARG00000039269
266799,gatm,ENSDARG00000036239
322089,ctps1a,ENSDARG00000030700
606663,psph,ENSDARG00000040314
393778,prdx6,ENSDARG00000043511
30068,cat,ENSDARG00000104702
394103,sardh,ENSDARG00000058102
450054,tpk1,ENSDARG00000038040
100048920,thtpa,ENSDARG00000063049
797715,ogdhb,ENSDARG00000103428
564552,ogdha,ENSDARG00000034270
559207,ogdhl,ENSDARG00000079249
116517,adh5,ENSDARG00000080010
282559,aldh3b1,ENSDARG00000013839
557008,aldh3b2,ENSDARG00000035606
751785,aldh1a3,ENSDARG00000076933
337599,zgc:172121,ENSDARG00000034430
402874,eno2,ENSDARG00000014287
378963,eno3,ENSDARG00000039007
334116,eno1a,ENSDARG00000022456
393668,eno1b,ENSDARG00000013750
572518,oat,ENSDARG00000078425
393970,acy1,ENSDARG00000038475
114426,odc1,ENSDARG00000007377
100008541,tdo2a,ENSDARG00000071429
334082,tdo2b,ENSDARG00000023176
406651,ddc,ENSDARG00000016494
571911,fdft1,ENSDARG00000101062
436747,ldhbb,ENSDARG00000071076
30497,ldhba,ENSDARG00000019644
30496,ldha,ENSDARG00000101251
436647,aldh6a1,ENSDARG00000053485
550579,idh3g,ENSDARG00000023648
393926,idh3a,ENSDARG00000030278
415247,idh3b,ENSDARG00000044753
565235,aldh5a1,ENSDARG00000076544
556229,aass,ENSDARG00000051816
30207,tyr,ENSDARG00000039077
445326,akr1a1a,ENSDARG00000035257
799805,akr1a1b,ENSDARG00000052030
431723,tha1,ENSDARG00000076225
445505,fbp2,ENSDARG00000012366
282672,fbp1b,ENSDARG00000020364
335231,fbp1a,ENSDARG00000021366
556291,gnpda2,ENSDARG00000024443
550565,gnpda1,ENSDARG00000037307
567861,gfpt1,ENSDARG00000057465
322055,cth,ENSDARG00000074301
64608,alas1,ENSDARG00000021059
64607,alas2,ENSDARG00000038643
569581,mut,ENSDARG00000060554
406615,gpd1c,ENSDARG00000036942
325181,gpd1b,ENSDARG00000043180
550404,gpd1a,ENSDARG00000043701
449663,gpd1l,ENSDARG00000040024
100136866,zgc:172295,ENSDARG00000053456
751628,gpd2,ENSDARG00000062430
436958,gpat3,ENSDARG00000016048
558437,gpat2,ENSDARG00000053575
100332911,gpam,ENSDARG00000074169
678522,gpat4,ENSDARG00000019897
567414,agpat9l,ENSDARG00000006491
393393,adprm,ENSDARG00000026090
436909,khk,ENSDARG00000029874
567019,ptpmt1,ENSDARG00000013860
368415,ptenb,ENSDARG00000056623
794088,ptena,ENSDARG00000071018
570613,sord,ENSDARG00000053405
431743,gmppaa,ENSDARG00000024112
393469,gmppab,ENSDARG00000023498
445097,gmppb,ENSDARG00000017658
393461,gmds,ENSDARG00000026629
266987,cbsb,ENSDARG00000010946
550524,cbsa,ENSDARG00000053500
393714,cdo1,ENSDARG00000099389
326857,gclc,ENSDARG00000013095
562854,lap3,ENSDARG00000061981
322533,anpepb,ENSDARG00000103878
555478,si:ch211-106j24.1,ENSDARG00000036809
322660,upb1,ENSDARG00000011521
378968,abat,ENSDARG00000006031
406283,acadm,ENSDARG00000038900
81882,dhfr,ENSDARG00000004251
100333269,aldh1l2,ENSDARG00000070230
406746,fpgs,ENSDARG00000044809
100034522,mthfd1l,ENSDARG00000042221
260441,mthfd1b,ENSDARG00000040492
394021,shmt1,ENSDARG00000052816
100144628,shmt2,ENSDARG00000104414
378847,mtr,ENSDARG00000104906
791130,galt,ENSDARG00000069543
394000,pgm1,ENSDARG00000013561
405822,pgm2,ENSDARG00000018178
393143,umps,ENSDARG00000012215
404623,uprt,ENSDARG00000035549
405829,dpydb,ENSDARG00000010267
100334830,kynu,ENSDARG00000099546
550372,afmid,ENSDARG00000099106
474331,dolpp1,ENSDARG00000036915
751635,alg5,ENSDARG00000061235
445202,dpm1,ENSDARG00000057011
793926,tkfc,ENSDARG00000062085
572335,gnpat,ENSDARG00000074401
560753,tpi1b,ENSDARG00000040988
192309,tpi1a,ENSDARG00000025012
799960,dolk,ENSDARG00000076991
563589,chkb,ENSDARG00000063167
558499,chka,ENSDARG00000041078
100170938,chata,ENSDARG00000015854
100331020,chdh,ENSDARG00000100304
114549,ache,ENSDARG00000031796
553452,akr1b1.2,ENSDARG00000045598
560827,prps1b,ENSDARG00000037506
140620,prps1a,ENSDARG00000015524
415207,rbks,ENSDARG00000019877
406661,nudt9,ENSDARG00000087927
415176,nudt5,ENSDARG00000078073
407673,rpia,ENSDARG00000056640
406367,gapdhs,ENSDARG00000039914
317743,gapdh,ENSDARG00000043457
450077,dera,ENSDARG00000005897
378713,tktb,ENSDARG00000006019
557518,tkta,ENSDARG00000029689
336425,aldoaa,ENSDARG00000011665
792692,aldoca,ENSDARG00000057661
406496,aldoab,ENSDARG00000034470
321664,aldob,ENSDARG00000053684
369193,aldocb,ENSDARG00000019702
572027,ppat,ENSDARG00000004517
337784,hlcs,ENSDARG00000039934
555376,btd,ENSDARG00000099596
393938,fh,ENSDARG00000075132
334431,adsl,ENSDARG00000017049
393423,asl,ENSDARG00000033361
337412,bcat1,ENSDARG00000045568
436949,bcat2,ENSDARG00000054849
449829,galk1,ENSDARG00000028088
450083,gla,ENSDARG00000036155
431739,cmah,ENSDARG00000057714
561018,cmasa,ENSDARG00000057334
492781,mvda,ENSDARG00000099336
553523,trit1,ENSDARG00000032876
553513,idi1,ENSDARG00000019976
140622,atic,ENSDARG00000016706
338306,impdh1b,ENSDARG00000029524
431724,impdh1a,ENSDARG00000042336
317745,impdh2,ENSDARG00000006900
406259,hprt1,ENSDARG00000008884
553639,gmpr,ENSDARG00000016160
678545,gmpr2,ENSDARG00000061301
550502,adss2,ENSDARG00000002071
192305,adssl,ENSDARG00000012399
407989,adss1,ENSDARG00000099517
555401,aoc1,ENSDARG00000061355
431716,sat1a.2,ENSDARG00000095908
436827,sat2b,ENSDARG00000104221
565700,sat1a.1,ENSDARG00000035652
556522,agmat,ENSDARG00000059700
436884,tyw3,ENSDARG00000038222
553534,nsun3,ENSDARG00000013023
791999,mettl6,ENSDARG00000070085
564925,trmt12,ENSDARG00000060338
560620,hemk1,ENSDARG00000078894
100004331,hal,ENSDARG00000017444
445288,acads,ENSDARG00000030781
406421,acox3,ENSDARG00000038865
449662,acox1,ENSDARG00000014727
100002035,acsm3,ENSDARG00000004880
571850,miox,ENSDARG00000002764
437018,impa1,ENSDARG00000003517
553595,impa2,ENSDARG00000059411
100126013,nagk,ENSDARG00000099116
322420,chia.6,ENSDARG00000093193
406338,chia.2,ENSDARG00000099185
337333,chia.4,ENSDARG00000008541
406819,chia.3,ENSDARG00000009612
791728,renbp,ENSDARG00000008931
100004977,mthfd2,ENSDARG00000098646
321621,gldc,
567547,mthfr,ENSDARG00000053087
393559,gmps,ENSDARG00000079848
393845,pde6c,ENSDARG00000100397
553270,pde5ab,ENSDARG00000051915
559332,pde6b,ENSDARG00000011671
564389,pde9al,ENSDARG00000076650
560682,pycr3,ENSDARG00000015236
100149838,pycr1b,ENSDARG00000098639
393799,pycr1a,ENSDARG00000102254
100003675,p4ha1b,ENSDARG00000071082
562774,p4ha1a,ENSDARG00000033537
373132,p4ha2,ENSDARG00000010085
563281,p4ha3,ENSDARG00000103692
100333321,prodha,ENSDARG00000086746
393330,zgc:64002,ENSDARG00000086998
100330160,nampta,ENSDARG00000030598
447878,acot7,ENSDARG00000018653
406648,ppt1,ENSDARG00000039980
405845,ppt2a.4,ENSDARG00000093176
393135,ppt2a.2,ENSDARG00000010782 ENSDARG00000068846
619258,,
100126133,ppt2b,ENSDARG00000104542
393657,ppt2a.1,ENSDARG00000068840
550422,pecr,ENSDARG00000055976
550550,mecr,ENSDARG00000032326
394156,acadl,ENSDARG00000088357
559656,acsl3b,ENSDARG00000014674
100006023,acsbg1,ENSDARG00000062077
