ensemble_orig,zdb_id,ensembl,ncbi_id
ENSDARG00000053890,ZDB-GENE-040426-1837,ENSDARG00000053890,402997
ENSDARG00000094443,ZDB-GENE-110913-155,ENSDARG00000094443,undef
ENSDARG00000112961,undef,ENSDARG00000112961,undef
ENSDARG00000111583,undef,ENSDARG00000111583,undef
ENSDARG00000105123,ZDB-GENE-040426-2307,ENSDARG00000105123,405837
ENSDARG00000007216,ZDB-GENE-040426-1995,ENSDARG00000007216,406324
ENSDARG00000102566,ZDB-GENE-081104-233,ENSDARG00000102566,undef
ENSDARG00000032761,ZDB-GENE-081105-16,ENSDARG00000032761,undef
ENSDARG00000062449,ZDB-GENE-060503-362,ENSDARG00000062449,100170805
ENSDARG00000110695,undef,ENSDARG00000110695,undef
ENSDARG00000096141,ZDB-GENE-071004-60,ENSDARG00000096141,794762
ENSDARG00000079024,ZDB-GENE-111020-10,ENSDARG00000079024,101886230
ENSDARG00000062269,ZDB-GENE-030131-6225,ENSDARG00000062269,565458
ENSDARG00000098838,ZDB-GENE-051120-63,ENSDARG00000098838,565964
ENSDARG00000103330,ZDB-GENE-121213-7,ENSDARG00000103330,100334029
ENSDARG00000017086,ZDB-GENE-030131-1647,ENSDARG00000017086,322927
ENSDARG00000054578,ZDB-GENE-040426-1087,ENSDARG00000054578,394087
ENSDARG00000042887,undef,ENSDARG00000042887,undef
ENSDARG00000088861,ZDB-GENE-110913-143,ENSDARG00000088861,undef
ENSDARG00000044327,ZDB-GENE-040426-1167,ENSDARG00000044327,393409
ENSDARG00000073771,ZDB-GENE-121214-108,ENSDARG00000073771,100332088
ENSDARG00000070447,ZDB-GENE-060314-3,ENSDARG00000070447,541413
ENSDARG00000078448,ZDB-GENE-100721-1,ENSDARG00000078448,100001171
ENSDARG00000061691,ZDB-GENE-030131-1441,ENSDARG00000061691,561142
ENSDARG00000105295,undef,ENSDARG00000105295,undef
ENSDARG00000053062,undef,ENSDARG00000053062,undef
ENSDARG00000059337,ZDB-GENE-030131-475,ENSDARG00000059337,321756
ENSDARG00000100037,undef,ENSDARG00000100037,undef
ENSDARG00000027547,ZDB-GENE-040718-280,ENSDARG00000027547,436818
ENSDARG00000102796,ZDB-GENE-091204-461,ENSDARG00000102796,undef
ENSDARG00000012899,ZDB-GENE-031030-3,ENSDARG00000012899,386632
ENSDARG00000045273,ZDB-GENE-040724-12,ENSDARG00000045273,751647
ENSDARG00000007477,ZDB-GENE-060421-7091,ENSDARG00000007477,678549
ENSDARG00000024324,ZDB-GENE-050417-305,ENSDARG00000024324,550478
ENSDARG00000102975,ZDB-GENE-030131-3694,ENSDARG00000102975,324971
ENSDARG00000014794,ZDB-GENE-040718-405,ENSDARG00000014794,436930
ENSDARG00000024651,ZDB-GENE-041114-82,ENSDARG00000024651,492511
ENSDARG00000009447,ZDB-GENE-020814-1,ENSDARG00000009447,81541
ENSDARG00000089075,ZDB-GENE-130530-952,ENSDARG00000089075,100332407
ENSDARG00000100725,ZDB-GENE-990415-62,ENSDARG00000100725,30688
ENSDARG00000058729,ZDB-GENE-040426-2944,ENSDARG00000058729,406855
ENSDARG00000110888,undef,ENSDARG00000110888,undef
ENSDARG00000078111,ZDB-GENE-120508-2,ENSDARG00000078111,100537934
ENSDARG00000114639,ZDB-GENE-050320-72,ENSDARG00000098984,541377
ENSDARG00000042261,ZDB-GENE-110411-280,ENSDARG00000042261,565314
ENSDARG00000003769,ZDB-GENE-050522-557,ENSDARG00000003769,554156
ENSDARG00000015474,ZDB-GENE-030904-7,ENSDARG00000015474,373881
ENSDARG00000102923,ZDB-GENE-080204-25,ENSDARG00000102923,503939
ENSDARG00000063358,ZDB-GENE-070410-22,ENSDARG00000063358,561210
ENSDARG00000042933,ZDB-GENE-070112-1862,ENSDARG00000042933,791215
ENSDARG00000034823,ZDB-GENE-000208-8,ENSDARG00000034823,30187
ENSDARG00000015540,ZDB-GENE-000330-9,ENSDARG00000015540,58026
ENSDARG00000089637,ZDB-GENE-030131-2469,ENSDARG00000089637,100005387
ENSDARG00000069981,ZDB-GENE-080425-4,ENSDARG00000069981,558206
ENSDARG00000069499,ZDB-GENE-061013-512,ENSDARG00000069499,768178
ENSDARG00000071566,ZDB-GENE-030131-5512,ENSDARG00000071566,327301
ENSDARG00000009724,ZDB-GENE-030131-7928,ENSDARG00000009724,335985
ENSDARG00000094860,ZDB-GENE-060503-489,ENSDARG00000094860,796164
ENSDARG00000030786,ZDB-GENE-050904-6,ENSDARG00000030786,613246
ENSDARG00000098441,ZDB-GENE-060929-596,ENSDARG00000098441,561673
ENSDARG00000070148,ZDB-GENE-060920-1,ENSDARG00000070148,554176
ENSDARG00000004177,ZDB-GENE-091118-95,ENSDARG00000004177,undef
ENSDARG00000038784,ZDB-GENE-050320-88,ENSDARG00000038784,541391
ENSDARG00000087474,ZDB-GENE-040625-126,ENSDARG00000087474,558616
ENSDARG00000100797,undef,ENSDARG00000100797,undef
ENSDARG00000087779,ZDB-GENE-030131-9808,ENSDARG00000087779,553068
ENSDARG00000105141,undef,ENSDARG00000105141,undef
ENSDARG00000003444,ZDB-GENE-060825-21,ENSDARG00000003444,751626
ENSDARG00000031681,ZDB-GENE-030131-443,ENSDARG00000031681,321724
ENSDARG00000025335,ZDB-GENE-130530-570,ENSDARG00000025335,100333839
ENSDARG00000099652,ZDB-GENE-041210-4,ENSDARG00000099652,558020
ENSDARG00000074906,ZDB-GENE-081022-210,ENSDARG00000074906,100189616
ENSDARG00000089486,ZDB-GENE-091204-403,ENSDARG00000089486,794623
ENSDARG00000108683,undef,ENSDARG00000108683,undef
ENSDARG00000069888,ZDB-GENE-010328-1,ENSDARG00000069888,81580
ENSDARG00000109407,undef,ENSDARG00000109407,undef
ENSDARG00000029474,ZDB-GENE-141014-1,ENSDARG00000029474,794026
ENSDARG00000069763,ZDB-GENE-030131-9572,ENSDARG00000069763,337626
ENSDARG00000060126,ZDB-GENE-050309-125,ENSDARG00000060126,571263
ENSDARG00000092721,ZDB-GENE-090313-129,ENSDARG00000092721,undef
ENSDARG00000071562,ZDB-GENE-061103-409,ENSDARG00000071562,563853
ENSDARG00000058848,ZDB-GENE-130514-1,ENSDARG00000058848,795916
ENSDARG00000045666,undef,ENSDARG00000045666,undef
ENSDARG00000012247,ZDB-GENE-040426-1246,ENSDARG00000012247,394015
ENSDARG00000060785,ZDB-GENE-070209-185,ENSDARG00000060785,563650
ENSDARG00000087916,ZDB-GENE-090313-306,ENSDARG00000087916,568378
ENSDARG00000088745,ZDB-GENE-071004-112,ENSDARG00000088745,100126122
ENSDARG00000061504,ZDB-GENE-070209-38,ENSDARG00000061504,570194
ENSDARG00000015174,ZDB-GENE-050522-215,ENSDARG00000015174,553691
